x,y,z,sx,sy,sz
33.91,16.82,-106.81,1582.4329,2152.6338,4063.8710
130.97,23.52,-233.06,11610.1459,3314.5262,16739.3823
44.70,11.04,-100.23,2937.5696,554.4409,3284.0609
34.89,19.49,-107.11,1754.9570,2585.7227,4103.1510
29.56,13.51,-103.98,657.7862,1507.7551,3726.2650
34.49,13.82,-105.16,1639.4900,1557.4730,3870.0378
29.38,19.19,-99.73,724.7725,2528.5522,3226.7841
35.24,10.25,-102.54,1715.6192,88.3751,3553.3781
70.39,12.11,-158.36,5668.2225,1261.3477,9436.8863
33.88,14.05,-106.49,1548.7763,1618.6488,4023.0126
50.70,11.72,-133.23,3618.2532,1107.4947,6896.6083
29.55,17.57,-98.45,735.3458,2259.2215,3062.3915
36.34,19.55,-108.19,1960.3696,2594.2823,4227.3992
38.40,20.04,-110.33,2236.5364,2670.8801,4468.8201
39.88,10.76,-96.27,2350.3845,381.1594,2769.9446
34.41,14.61,-106.62,1635.9784,1735.6547,4039.4823
42.82,13.59,-110.77,2734.5262,1491.8421,4513.4929
36.70,17.18,-110.10,1990.1334,2218.7385,4437.7224
61.07,34.98,-136.61,4821.4783,4634.0687,7241.5367
55.95,28.21,-132.08,4261.8533,3811.5647,6780.0627
45.33,11.83,-125.49,3018.4889,1122.2132,6092.2912
83.59,42.69,-165.31,7093.7732,5547.0908,10101.3658
64.34,28.50,-144.73,5125.7524,3867.5907,8063.1489
127.46,20.61,-230.15,11264.2660,2902.0794,16461.9321
123.03,15.99,-224.74,10825.1517,2154.0785,15944.7688
107.12,16.14,-208.72,9289.7080,2182.0150,14382.9483
68.18,12.29,-155.49,5445.5125,1303.4820,9150.2387
106.53,13.81,-206.37,9225.4256,1727.5884,14158.3066
209.69,101.06,-308.14,19315.1421,11717.8670,23834.4169
108.28,12.61,-208.19,9391.6890,1455.7601,14338.1204
39.61,11.58,-96.02,2322.1413,816.1244,2738.1832
84.18,52.85,-159.02,7188.8733,6632.0340,9473.4448
102.96,12.93,-198.00,8877.5892,1506.9033,13344.7367
63.61,18.61,-149.44,5007.5907,2518.0297,8539.2954
139.29,28.09,-244.00,12419.4397,3926.3266,17791.1487
48.95,11.69,-132.47,3426.5899,1106.3445,6817.4358
105.84,12.50,-206.40,9154.5020,1433.6055,14163.5669
118.73,18.08,-219.95,10417.1951,2506.5357,15475.3511
126.81,21.39,-230.87,11203.8944,3021.6430,16529.4031
35.97,17.91,-109.00,1895.4775,2337.9460,4315.6387
73.55,41.99,-149.76,6103.5942,5445.5042,8561.5369
229.92,118.58,-335.25,21273.2046,13488.4702,26396.8829
36.24,18.12,-109.48,1934.3631,2374.0320,4369.4456
38.42,21.29,-110.49,2249.4788,2856.6570,4487.7134
35.42,13.19,-104.81,1771.6452,1403.4524,3828.2862
114.02,12.16,-218.09,9943.5080,1366.0278,15302.1757
38.87,21.29,-111.63,2305.9773,2859.3376,4613.2395
30.07,17.47,-102.32,874.4718,2258.6345,3537.8620
99.21,9.56,-197.70,8501.2649,205.7317,13318.6623
151.66,18.24,-260.13,13574.9553,2558.6691,19370.8695
90.45,12.31,-184.96,7656.0880,1355.0616,12066.3466
113.53,13.63,-213.80,9902.3822,1688.7097,14884.4855
44.63,10.18,-126.75,2928.4130,463.7371,6223.4071
60.24,24.94,-139.51,4690.6834,3402.5673,7537.3507
60.72,12.24,-147.28,4682.9141,1286.5296,8325.7434
38.91,17.91,-110.56,2285.9677,2333.2019,4491.9110
66.22,11.32,-153.14,5242.4409,1020.9337,8915.7217
79.83,15.86,-169.52,6624.3025,2075.6548,10541.6343
87.43,15.18,-181.40,7370.4115,1970.6483,11712.5478
73.53,10.43,-163.44,5976.2226,706.4813,9943.9267
84.04,15.06,-175.82,7036.8130,1938.2861,11164.1659
33.89,12.76,-104.22,1534.6325,1301.9627,3757.9116
102.67,13.81,-201.65,8851.5442,1722.6093,13697.7813
33.73,14.33,-105.59,1526.9907,1673.5524,3919.5313
72.18,32.39,-153.11,5929.1631,4351.7856,8900.6005
35.73,18.05,-107.78,1863.1824,2357.7067,4178.4993
