_0.0_153x1080 (RGB)
PerspectiveCamera5
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0884898, -0.0448821, -0.179221, 0.213255, -0.205764, -0.0695523, 0.186207
-0.0884898, 1, 0.229998, -0.0405877, -0.0133053, 0.0235144, -0.107449, 0.1312
-0.0448821, 0.229998, 1, 0.0423087, -0.267681, 0.30041, -0.190387, 0.268971
-0.179221, -0.0405877, 0.0423087, 1, -0.88519, 0.796596, 0.541183, -0.194865
0.213255, -0.0133053, -0.267681, -0.88519, 1, -0.980921, -0.207823, 0.0559741
-0.205764, 0.0235144, 0.30041, 0.796596, -0.980921, 1, 0.108546, -0.0202214
-0.0695523, -0.107449, -0.190387, 0.541183, -0.207823, 0.108546, 1, -0.361178
0.186207, 0.1312, 0.268971, -0.194865, 0.0559741, -0.0202214, -0.361178, 1
_0.0_429x1058 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0657736, -0.0323349, -0.151399, 0.171113, -0.155349, -0.0715249, 0.222638
-0.0657736, 1, 0.159541, -0.00491929, -0.0153942, 0.0207989, -0.0314739, 0.154564
-0.0323349, 0.159541, 1, -0.000589403, -0.117492, 0.118005, -0.115059, 0.210362
-0.151399, -0.00491929, -0.000589403, 1, -0.90471, 0.822191, 0.55524, -0.204106
0.171113, -0.0153942, -0.117492, -0.90471, 1, -0.980374, -0.264551, 0.11396
-0.155349, 0.0207989, 0.118005, 0.822191, -0.980374, 1, 0.173805, -0.0898034
-0.0715249, -0.0314739, -0.115059, 0.55524, -0.264551, 0.173805, 1, -0.321834
0.222638, 0.154564, 0.210362, -0.204106, 0.11396, -0.0898034, -0.321834, 1
_0.0_450x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.00178285, -0.0276196, -0.153198, 0.176698, -0.161601, -0.0820017, 0.273785
-0.00178285, 1, 0.100661, -0.0492574, 0.053358, -0.0607488, -0.0145585, 0.149661
-0.0276196, 0.100661, 1, 0.0348389, -0.108099, 0.103095, -0.0694847, 0.0755854
-0.153198, -0.0492574, 0.0348389, 1, -0.900719, 0.80571, 0.603942, -0.0457335
0.176698, 0.053358, -0.108099, -0.900719, 1, -0.976165, -0.312835, 0.0130328
-0.161601, -0.0607488, 0.103095, 0.80571, -0.976165, 1, 0.209527, -0.0016152
-0.0820017, -0.0145585, -0.0694847, 0.603942, -0.312835, 0.209527, 1, -0.1795
0.273785, 0.149661, 0.0755854, -0.0457335, 0.0130328, -0.0016152, -0.1795, 1
_0.0_456x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0341135, -0.0301287, -0.0953578, 0.0579295, -0.0262585, -0.0925433, 0.242167
-0.0341135, 1, 0.080464, -0.0214922, 0.0429983, -0.0348504, 0.101898, 0.259137
-0.0301287, 0.080464, 1, 0.0316781, 0.071128, -0.0911425, 0.208656, 0.0601258
-0.0953578, -0.0214922, 0.0316781, 1, -0.897538, 0.805014, 0.561568, -0.168536
0.0579295, 0.0429983, 0.071128, -0.897538, 1, -0.978054, -0.255396, 0.102742
-0.0262585, -0.0348504, -0.0911425, 0.805014, -0.978054, 1, 0.162655, -0.0818834
-0.0925433, 0.101898, 0.208656, 0.561568, -0.255396, 0.162655, 1, -0.243985
0.242167, 0.259137, 0.0601258, -0.168536, 0.102742, -0.0818834, -0.243985, 1
_0.0_462x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0362871, -0.0700149, -0.148113, 0.135025, -0.111609, -0.104435, 0.225508
-0.0362871, 1, 0.169256, 0.0258181, 0.00979669, -0.0167053, 0.12215, 0.308672
-0.0700149, 0.169256, 1, -0.000157369, 0.0413349, -0.0585472, 0.175293, 0.121537
-0.148113, 0.0258181, -0.000157369, 1, -0.920045, 0.842886, 0.518914, -0.134111
0.135025, 0.00979669, 0.0413349, -0.920045, 1, -0.981745, -0.249453, 0.0767817
-0.111609, -0.0167053, -0.0585472, 0.842886, -0.981745, 1, 0.162537, -0.0581202
-0.104435, 0.12215, 0.175293, 0.518914, -0.249453, 0.162537, 1, -0.225902
0.225508, 0.308672, 0.121537, -0.134111, 0.0767817, -0.0581202, -0.225902, 1
_0.0_474x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0614184, -0.061594, -0.124159, 0.115908, -0.0878489, -0.0920401, 0.218872
-0.0614184, 1, 0.101913, -0.01092, 0.0106234, -0.0117896, 0.00581498, 0.289783
-0.061594, 0.101913, 1, 0.0541692, 0.0150704, -0.0699008, 0.136553, 0.117314
-0.124159, -0.01092, 0.0541692, 1, -0.904757, 0.81088, 0.638555, -0.123688
0.115908, 0.0106234, 0.0150704, -0.904757, 1, -0.976971, -0.344593, 0.0655502
-0.0878489, -0.0117896, -0.0699008, 0.81088, -0.976971, 1, 0.23175, -0.0462751
-0.0920401, 0.00581498, 0.136553, 0.638555, -0.344593, 0.23175, 1, -0.227938
0.218872, 0.289783, 0.117314, -0.123688, 0.0655502, -0.0462751, -0.227938, 1
_0.0_468x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, 0.0100281, -0.0923169, -0.0824268, -0.071233, 0.180916, -0.135782, 0.268165
0.0100281, 1, 0.00385085, -0.0224435, -0.00878062, 0.0353324, -0.0169872, 0.294937
-0.0923169, 0.00385085, 1, -0.0293749, 0.410978, -0.614993, 0.234512, 0.086103
-0.0824268, -0.0224435, -0.0293749, 1, -0.849352, 0.67259, 0.51426, 0.0236679
-0.071233, -0.00878062, 0.410978, -0.849352, 1, -0.955, -0.13348, -0.0391592
0.180916, 0.0353324, -0.614993, 0.67259, -0.955, 1, -0.0216901, 0.0434157
